signify|나타내다; 중요하다, 중대하다
alien|외국(인)의; 이질적인; 외계인
abolish|폐지하다, 없애다
conceive|생각해 내다; 상상하다; 임신하다
core|핵심; 중심부; 핵심의, 가장 중요한
resign|사임하다, 사직하다
adolescent|청소년(의)
discriminate|차별하다; 구별하다
biology|생물학
council|지방 의회; 평의회, 협의회
civil|시민의; 민간인의; [법률] 민사의
resolve|해결하다; 결심하다
assure|보증하다, 장담하다; 확실하게 하다
resume|다시 시작하다; 되찾다; 이력서
predecessor|전임자, 선배
profess|공언하다, 단언하다
precede|~에 앞서다[선행하다]
solitary|혼자의; 고립된, 외딴
alter|바꾸다, 변하다
recreate|되살리다, 재현하다
recruit|모집하다; 새로운 구성원
accord|일치하다[시키다], 조화하다[시키다]; 일치
withhold|주지 않다, 보류하다
recite|암송하다, 낭독[낭송]하다
cease|그만두다, 그치다, 끝나다
render|~한 상태로 만들다; (도움 등을) 주다
contradict|모순되다; 반박하다, 부정하다
ensure|반드시 ~하게 하다, 보장하다
deceive|속이다, 기만하다
sophomore|(대학·고교의) 2학년생
circular|원형의, 둥근; 순회하는, 순환하는
recede|물러가다, 멀어지다; 희미해지다
fatal|치명적인, 죽음에 이르게 하는
incident|사건, 일어난 일
criticize|비판하다, 비난하다; 비평하다
proclaim|선언하다, 공표하다
civilize|문명화하다
infancy|유아기; 초기 (단계)
acquaintance|지인; 면식; 지식
insure|보험에 가입하다
biography|전기, 일대기
excess|초과, 과잉; 초과한
sole|유일한, 단독의
surrender|항복(하다); 양도(하다)
circulate|순환하다[시키다]; 퍼지다; 배포하다
circuit|순회; 둘레; [전기] 회로
discord|불화, 불일치; 불협화음
dictate|받아쓰게 하다; 명령하다, 지시하다
withdraw|물러나다; 취소하다; 인출하다
sophisticated|세련된, 교양 있는; 정교한
presume|가정하다, 추정하다
decay|썩다; 부패(하다); 쇠퇴(하다)
diagnose|진단하다, (병 등의) 원인을 규명하다
cite|인용하다; 언급하다; (법정으로) 소환하다
withstand|견디다; 저항하다
captive|포로(가 된); 사로잡힌
capable|~할 수 있는; 유능한
edition|(출판물의) 판
casual|느긋한; 평상시의; 평상복
concrete|구체적인; 콘크리트(로 만든)
