discord|불화, 불일치; 불협화음
define|정의하다; (범위·경계 등을) 규정하다
infancy|유아기; 초기 (단계)
qualify|자격[권한]을 주다[얻다], 적임이다
trace|흔적; 추적하다; 밝혀내다
circular|원형의, 둥근; 순회하는, 순환하는
dictate|받아쓰게 하다; 명령하다, 지시하다
recite|암송하다, 낭독[낭송]하다
inflict|(타격을) 가하다, (벌 등을) 주다
distract|흐트러뜨리다, 산만하게 하다
extract|뽑다, 추출하다; 발췌(하다)
farewell|작별 (인사)
resume|다시 시작하다; 되찾다; 이력서
trail|끌다[끌리다]; 추적하다; 오솔길
circulate|순환하다[시키다]; 퍼지다; 배포하다
confine|한정하다, 제한하다; 가두다
core|핵심; 중심부; 핵심의, 가장 중요한
defect|결점, 결함
render|~한 상태로 만들다; (도움 등을) 주다
ensure|반드시 ~하게 하다, 보장하다
attract|끌다, 유인하다, 매혹하다
fort|요새, 보루
cultivate|경작하다; 양성하다, 계발하다
recruit|모집하다; 새로운 구성원
conflict|대립(하다), 충돌(하다); 싸움
fertile|기름진, 비옥한; 다산의
confer|협의하다, 의논하다; 수여하다
accord|일치하다[시키다], 조화하다[시키다]; 일치
proficient|능숙한, 숙달된
surrender|항복(하다); 양도(하다)
profess|공언하다, 단언하다
treaty|조약, 협정
portrait|초상(화), 인물 사진; 묘사
reinforce|강화하다, 증강하다, 보강하다
assure|보증하다, 장담하다; 확실하게 하다
recreate|되살리다, 재현하다
warfare|전쟁, 전투, 싸움
fiction|소설; 꾸며낸 이야기, 허구
fatal|치명적인, 죽음에 이르게 하는
insure|보험에 가입하다
cite|인용하다; 언급하다; (법정으로) 소환하다
council|지방 의회; 평의회, 협의회
abstract|추상(적인); 추출하다; 요약(하다)
circuit|순회; 둘레; [전기] 회로
force|억지로 ~하게 하다, 강요하다; 힘
proclaim|선언하다, 공표하다
contradict|모순되다; 반박하다, 부정하다
acquaintance|지인; 면식; 지식
civilize|문명화하다
refine|정제하다; 개선하다, 다듬다
concrete|구체적인; 콘크리트(로 만든)
presume|가정하다, 추정하다
civil|시민의; 민간인의; [법률] 민사의
welfare|복지, 복리, 행복
diagnose|진단하다, (병 등의) 원인을 규명하다
indifferent|무관심한, 사심이 없는
infer|추론하다, 추측하다
colony|식민지; 집단
edition|(출판물의) 판
infinite|무한한
