fundamental|근본적인; 중요한, 필수의
force|억지로 ~하게 하다, 강요하다; 힘
fiction|소설; 꾸며낸 이야기, 허구
fragile|깨지기 쉬운, 부서지기 쉬운; 허약한
reinforce|강화하다, 증강하다, 보강하다
infinite|무한한
defect|결점, 결함
fraction|일부, 소량; [수학] 분수
substitute|대용품, 대리인; 대체하다
garment|의류 (한 점)
prejudice|선입관; 편견을 갖게 하다
obstacle|장애(물), 방해(물)
confer|협의하다, 의논하다; 수여하다
qualify|자격[권한]을 주다[얻다], 적임이다
estate|재산; 토지, 사유지
trail|끌다[끌리다]; 추적하다; 오솔길
institute|학회; 제정하다, 도입하다
refine|정제하다; 개선하다, 다듬다
confine|한정하다, 제한하다; 가두다
fusion|융합, 결합
portrait|초상(화), 인물 사진; 묘사
inject|주입하다, 주사하다
fertile|기름진, 비옥한; 다산의
inhabit|~에 살다, 서식하다
distract|흐트러뜨리다, 산만하게 하다
project|프로젝트; 예상[추정]하다; 투영하다
indifferent|무관심한, 사심이 없는
gratitude|감사(의 마음)
abstract|추상(적인); 추출하다; 요약(하다)
farewell|작별 (인사)
welfare|복지, 복리, 행복
futile|쓸모없는, 무익한
treaty|조약, 협정
arrest|체포(하다)
constant|끊임없는; 불변의; 불변(의 것)
stable|안정된; 침착한; 마구간
infer|추론하다, 추측하다
substance|물질; 본질; 요지
extract|뽑다, 추출하다; 발췌(하다)
trace|흔적; 추적하다; 밝혀내다
proficient|능숙한, 숙달된
justify|정당화하다
attract|끌다, 유인하다, 매혹하다
steady|꾸준한; 안정된
statistics|통계(치); 통계학
define|정의하다; (범위·경계 등을) 규정하다
assist|돕다; [스포츠] 어시스트
grace|우아함; 품위; (신의) 은혜
cultivate|경작하다; 양성하다, 계발하다
superstition|미신
destined|~할 운명의; ~행의
warfare|전쟁, 전투, 싸움
constitute|구성하다; ~로 간주되다; 설립하다
inflict|(타격을) 가하다, (벌 등을) 주다
colony|식민지; 집단
conflict|대립(하다), 충돌(하다); 싸움
habitat|서식지, 거주지
fragment|조각; 산산이 부수다[부서지다]
profound|강한; 심오한
fort|요새, 보루
