prove|증명하다, 입증하다; (~으로) 판명되다
depress|낙담시키다, 우울하게 하다; 불경기로 만들다
competent|유능한, 역량 있는
torment|고안하다, 궁리하다
impress|감동시키다; (도장 등을) 찍다
oppress|억압하다, 탄압하다
patron|후원자; 고객
tremble|떨다, 떨리다; 흔들리다
probe|조사(하다), 검사하다
torture|고문(하다); 심한 고통
compound|혼합[합성]물; 합성의; 혼합[합성]하다
patriot|애국자
prior|이전의, 먼저의; (~에) 우선하는
terrify|겁나게 하다, 무섭게 하다
transparent|투명한; 명백한, 이해하기 쉬운
pedestrian|보행자; 보행자(용)의
portable|휴대용의, 가지고 다닐 수 있는
emphasize|강조하다
convey|전하다, 전달하다; 나르다
voluntary|자발적인; 자원봉사의
convict|유죄를 입증[선고]하다; 죄수
voyage|항해(하다), 여행(하다)
territory|영토, 지역; 영역
phenomenon|현상, 사건
reputation|평판, 명성
partial|부분적인; 편파적인
probable|있음 직한, 그럴듯한
diplomatic|외교의; 외교에 능한
fancy|상상; 화려한; 고급의
opponent|상대; 반대자
vague|막연한, 애마한; 희미한
implement|도구; 실행[이행]하다
deprive|빼앗다, 박탈하다
suppose|추측하다; 가정하다, 상상하다
portion|부분; 1인분; 몫
proportion|비율, 부분; 균형, 조화
origin|기원, 유래; 출신
terminate|끝나다, 종결시키다
impulse|충동, 욕구; 추진(력)
previous|이전의, 앞의, 사전의
orient|동양; 향하게 하다; 적응시키다
dispute|논쟁(하다); 반박하다
distort|왜곡하다; 비틀다
private|사적인, 개인적인; 비밀의
appetite|식욕; 욕구, 욕망
primitive|원시의, 원시적인
via|~을 경유해서, ~을 통해서
nourish|영양분을 주다; 기르다, 육성하다
particle|작은 조각, 소량; [물리] 소립자
impose|부과하다; 강요하다
nutrition|영양, 영양 섭취
expedition|원정, 탐험(대)
tremendous|엄청난, 막대한; 대단한
peer|동등한 사람, 또래; 자세히 들여다보다
metropolis|주요 도시, 대도시
expel|내쫓다, 추방하다
imply|내포하다, 함축하다; 암시하다
component|구성 요소, 성분; 구성하는
determine|결정하다; 결심하다
dispel|떨쳐 버리다, 없애다
