issue|논점; 발행(물); 발표[공표]하다
literate|읽고 쓸 수 있는
command|명령(하다); 지휘(하다); (경치를) 내려다보다
literal|글자 그대로의
eminent|저명한, (신분이) 높은
physician|내과 의사, 의사
occupation|직업, 업무
conscience|양심, 도덕심
intellectual|지적인, 지성의
conscious|의식하는; 의식이 있는; 의도적인
numerous|다수의, 셀 수 없이 많은
transfer|이동(하다); 환승(하다); 전송(하다)
humble|겸손한; 낮은, 비천한; 변변찮은
memorial|기념물; 기념의
contribute|기여하다; 기부하다
property|재산; 부동산; 특성
suit|적합하다; 어울리다; 정장
professor|교수
literary|문학의, 문학적인
contract|계약(서); 계약하다; 수축하다[시키다]
physicist|물리학자
moderate|보통의; 중도의; 완화하다
profession|직업, 전문직
facility|설비; 기능; 건물
abrupt|돌연한, 갑작스러운; 퉁명스러운
decline|감소(하다); 거절하다; 하락
inability|~할 수 없음, 무능력
identify|(신원 등을) 확인하다; (~와) 동일시하다
deposit|계약금; 예금(하다); 두다
tune|곡; (악기를) 조율하다; 조정하다
prominent|두드러진, 현저한
imminent|임박한, 촉박한
emit|방출하다, ~을 내뿜다
contempt|경멸, 모욕; 수치
suspend|일시 중지하다; 정학[정직]시키다; 매달다
curve|곡선; 굽이, 커브; 구부러지다
complex|복잡한; 건물 단지; 복합체
relieve|경감시키다; 완화하다; 교대하다
grave|무덤; 심각한, 중대한
attribute|~의 탓[덕분]으로 하다
omit|~을 생략하다, 빠뜨리다
attend|참석[출석]하다; 돌보다; ~에 수반하다
tempt|유혹하다, 부추기다
modest|겸손한; 적당한; 얌전한
occupant|점유자, 거주자
intelligent|지능이 높은, 총명한
comprehend|이해하다, 파악하다; 포함하다
submit|제출하다; 복종[굴복]하다; 제안하다
reason|이유; 근거; 판단하다
memorable|기억할 만한
carve|베다; (어떤 모양으로) 새기다
bind|묶다; 결속시키다; 의무를 지우다
numeral|숫자
content|내용(물); 만족한; 만족시키다
major|중요한; 대다수의; 전공(하다)
reflect|비치다; 반사하다; 반영하다
disability|장애, 불리한 조건; 무력
capital|수도; 자본(의); 대문자(의)
correspond|
cast|던지다; 배역을 정하다; 주조하다
