adhere|들러붙다; 충실하다, 고수하다
tune|곡; (악기를) 조율하다; 조정하다
suspend|일시 중지하다; 정학[정직]시키다; 매달다
condition|상태; 조건; 길들이다
complex|복잡한; 건물 단지; 복합체
discipline|규율, 훈육; 절제력; 징계하다
beat|이기다; 치다; (연달아) 때림
owe|빚지고 있다; 덕택으로 생각하다
grave|무덤; 심각한, 중대한
branch|나뭇가지; 지사, 분점; 갈라지다
certain|확신하는; 틀림없는; 특정한
deposit|계약금; 예금(하다); 두다
present|참석한; 현재의; 주다, 제출하다
fit|맞다; 적합하다; 적합한
content|내용(물); 만족한; 만족시키다
reflect|비치다; 반사하다; 반영하다
asset|자산, 재산; 자산(이 되는 사람·물건)
bitter|맛이 쓴; 억울해하는; 신랄한
reason|이유; 근거; 판단하다
deal|다루다; 거래하다; 거래
scale|규모; 등급; 저울
tough|곤란한; 튼튼한; 질긴
moderate|보통의; 중도의; 완화하다
bill|계산서; 지폐; 법안
bound|~할 가능성이 큰; 얽매인; 껑충껑충 뛰어가다
property|재산; 부동산; 특성
issue|논점; 발행(물); 발표[공표]하다
command|명령(하다); 지휘(하다); (경치를) 내려다보다
contract|계약(서); 계약하다; 수축하다[시키다]
capital|수도; 자본(의); 대문자(의)
bar|막다; 잠그다; 술집
accommodate|수용하다; (환경 등에) 적응하다
attend|참석[출석]하다; 돌보다; ~에 수반하다
suit|적합하다; 어울리다; 정장
facility|설비; 기능; 건물
edge|가장자리, 끝; 조금씩 움직이다
burst|터지다; 불쑥 가다[오다]; 파열, 폭발
direct|지도하다; 안내하다; 직접적인
bow|절하다; 절, 인사; 활
cast|던지다; 배역을 정하다; 주조하다
humble|겸손한; 낮은, 비천한; 변변찮은
craft|(수)공예; 기술; 공들여 만들다
transfer|이동(하다); 환승(하다); 전송(하다)
faculty|교수진, 교직원; 학부; 재능
modest|겸손한; 적당한; 얌전한
fountain|분수; 샘; 근원
identify|(신원 등을) 확인하다; (~와) 동일시하다
condemn|비난하다; 선고를 내리다; 처하게 하다
relieve|경감시키다; 완화하다; 교대하다
temperate|온화한; (행동이) 절제된
major|중요한; 대다수의; 전공(하다)
comprehend|이해하다, 파악하다; 포함하다
refer|언급하다; 참고하다; 나타내다
decent|괜찮은; 예의 바른; (상황에) 적절한
decline|감소(하다); 거절하다; 하락
bind|묶다; 결속시키다; 의무를 지우다
occur|일어나다; 떠오르다; 존재하다
abrupt|돌연한, 갑작스러운; 퉁명스러운
correspond|
submit|제출하다; 복종[굴복]하다; 제안하다
