shallow|얕은; 피상적인; (호흡이) 약한
condition|상태; 조건; 길들이다
tough|곤란한; 튼튼한; 질긴
edge|가장자리, 끝; 조금씩 움직이다
fit|맞다; 적합하다; 적합한
custom|관습; 습관; 관세
bitter|맛이 쓴; 억울해하는; 신랄한
firm|단단한; 흔들리지 않는; 회사
beat|이기다; 치다; (연달아) 때림
radical|근본적인; 급진적인; 급진주의자
accommodate|수용하다; (환경 등에) 적응하다
remark|말하다; 알아채다; 말, 의견
certain|확신하는; 틀림없는; 특정한
score|득점(하다); 점수; 채점하다
present|참석한; 현재의; 주다, 제출하다
square|정사각형(의); 광장; 제곱
bar|막다; 잠그다; 술집
launch|시작하다; 출시(하다); 발사(하다)
condemn|비난하다; 선고를 내리다; 처하게 하다
fix|고정시키다; 정하다; 수리하다
bow|절하다; 절, 인사; 활
stage|단계; 무대; 개최하다
shed|없애다; 떨어뜨리다; (빛을) 비추다
flush|붉어지다; 물로 씻어내리다; 홍조
margin|여백; 차이; 마진, 수익
recall|기억해 내다; 소환하다; 회수
faculty|교수진, 교직원; 학부; 재능
spare|할애하다, 내다; 면하게 하다; 여분의
bound|~할 가능성이 큰; 얽매인; 껑충껑충 뛰어가다
scale|규모; 등급; 저울
craft|(수)공예; 기술; 공들여 만들다
fountain|분수; 샘; 근원
owe|빚지고 있다; 덕택으로 생각하다
folk|사람들; 가족; 민속의
direct|지도하다; 안내하다; 직접적인
seed|씨; 근원, 원인; 씨를 뿌리다
burst|터지다; 불쑥 가다[오다]; 파열, 폭발
refer|언급하다; 참고하다; 나타내다
trial|재판; 시험(하다); 시련
asset|자산, 재산; 자산(이 되는 사람·물건)
branch|나뭇가지; 지사, 분점; 갈라지다
starve|굶주리다; 굶기다; 갈망하다
stroke|쓰다듬다; 치다; 뇌졸중
demonstrate|입증하다; 설명하다; 시위하다
occur|일어나다; 떠오르다; 존재하다
adhere|들러붙다; 충실하다, 고수하다
deal|다루다; 거래하다; 거래
stick|찌르다; 붙이다; 막대기
wrap|싸다; 두르다; 덮개
subtle|미묘한; 교묘한; 예민한
tissue|(생물) 조직; 화장지; 얇은 종이
inflate|부풀리다[부풀다]; 과장하다; 올리다[오르다]
bill|계산서; 지폐; 법안
row|줄, 열; 노젓기; 노[배]를 젓다
temperate|온화한; (행동이) 절제된
flat|평평한; 균일의; 펑크
slight|약간의; 가냘픈; 무시하다
decent|괜찮은; 예의 바른; (상황에) 적절한
discipline|규율, 훈육; 절제력; 징계하다
follow|따라가다[오다]; 뒤를 잇다; 따르다
