starve|굶주리다; 굶기다; 갈망하다
score|득점(하다); 점수; 채점하다
flat|평평한; 균일의; 펑크
amused|재미있어 하는, 즐거워 하는
dismayed|낭패한
demonstrate|입증하다; 설명하다; 시위하다
mournful|구슬픈, 슬픔에 잠긴
astonished|깜짝 놀란
fond|좋아하여; 다정한
custom|관습; 습관; 관세
slight|약간의; 가냘픈; 무시하다
recall|기억해 내다; 소환하다; 회수
follow|따라가다[오다]; 뒤를 잇다; 따르다
keen|열심인; 몹시 하고 싶어 하는; 예민한
bewildered|당혹한, 갈피를 못 잡은
irritated|짜증이 난, 화난
embarrassed|난처한, 거북한
humiliating|치욕적인, 굴욕적인
sorrowful|슬픈, 비탄에 잠긴
radical|근본적인; 급진적인; 급진주의자
seed|씨; 근원, 원인; 씨를 뿌리다
stroke|쓰다듬다; 치다; 뇌졸중
stick|찌르다; 붙이다; 막대기
hesitate|주저하다, 망설이다
adore|동경[흠모]하다, 아주 좋아하다; 숭배하다
trial|재판; 시험(하다); 시련
firm|단단한; 흔들리지 않는; 회사
stage|단계; 무대; 개최하다
inflate|부풀리다[부풀다]; 과장하다; 올리다[오르다]
lament|슬퍼하다, 비탄하다; 슬픔, 애도
wrap|싸다; 두르다; 덮개
launch|시작하다; 출시(하다); 발사(하다)
gloomy|우울한, 울적한
folk|사람들; 가족; 민속의
spare|할애하다, 내다; 면하게 하다; 여분의
annoying|성가신, 난처한
square|정사각형(의); 광장; 제곱
hatred|미움, 증오, 혐오
row|줄, 열; 노젓기; 노[배]를 젓다
gratifying|만족스러운, 유쾌한
tissue|(생물) 조직; 화장지; 얇은 종이
envious|부러워하는, 샘내는
margin|여백; 차이; 마진, 수익
provoke|유발하다; 화나게 하다
lonely|고독한, 외로운
fix|고정시키다; 정하다; 수리하다
startled|놀란
fascinated|매료된, 매혹된
manifest|(감정 등을) 밖으로 나타내다; 명백한, 분명한
grief|큰 슬픔, 비탄
flush|붉어지다; 물로 씻어내리다; 홍조
shed|없애다; 떨어뜨리다; (빛을) 비추다
subtle|미묘한; 교묘한; 예민한
panic|당황하여 허둥대다; 당황한; 공황
abhorrent|몹시 싫은, 딱 질색인
indulgent|관대한
frustrated|좌절감을 느끼는, 불만스러워 하는
shallow|얕은; 피상적인; (호흡이) 약한
furious|격노한; 맹렬한
remark|말하다; 알아채다; 말, 의견
