fond|좋아하여; 다정한
mournful|구슬픈, 슬픔에 잠긴
indulgent|관대한
narrative|서술의; 이야기, 담화
miserable|비참한, 불행한
frustrated|좌절감을 느끼는, 불만스러워 하는
bewildered|당혹한, 갈피를 못 잡은
dismayed|낭패한
stunning|깜짝 놀라게 하는; 놀랄 만큼 아름다운[멋진]
startled|놀란
informative|정보를 주는, 유익한
ironic(al)|반어적인, 빗대는
exotic|외래의; 이국풍의
fascinated|매료된, 매혹된
keen|열심인; 몹시 하고 싶어 하는; 예민한
serene|잔잔한, 평온한
adore|동경[흠모]하다, 아주 좋아하다; 숭배하다
provoke|유발하다; 화나게 하다
urgent|긴박한, 긴급한
pessimistic|비관적인, 염세적인
annoying|성가신, 난처한
cruel|잔인한, 잔혹한; 비참한
dreadful|지독한, 몹시 싫은
chaotic|혼돈된, 무질서한, 혼란한
negative|적대적인, 부정적인
yearn|동경하다, 그리워하다; 열망하다
risky|모험적인, 대담한, 위험한
hesitate|주저하다, 망설이다
melancholic|우울한, 침울한
manifest|(감정 등을) 밖으로 나타내다; 명백한, 분명한
satirical|풍자적인, 비꼬는
formidable|무서운; 만만치 않은
vigorous|활발한, 격렬한; 활기찬, 건강한
solemn|진지한, 엄숙한
humiliating|치욕적인, 굴욕적인
furious|격노한; 맹렬한
amicable|우호적인, 평화적인
dreary|쓸쓸한, 음울한, 황량한
horror|공포, 무서움
embarrassed|난처한, 거북한
grief|큰 슬픔, 비탄
hazardous|위험한, 모험적인
amused|재미있어 하는, 즐거워 하는
astonished|깜짝 놀란
envious|부러워하는, 샘내는
abhorrent|몹시 싫은, 딱 질색인
irritated|짜증이 난, 화난
lonely|고독한, 외로운
sorrowful|슬픈, 비탄에 잠긴
lament|슬퍼하다, 비탄하다; 슬픔, 애도
ominous|불길한, 기분이 나쁜
panic|당황하여 허둥대다; 당황한; 공황
admirable|감탄할 만한
cynical|냉소적인; 비관적인
gloomy|우울한, 울적한
tragic|비극적인; 매우 슬픈
gratifying|만족스러운, 유쾌한
dismal|음침한, 어두운, 울적한
hatred|미움, 증오, 혐오
frightening|겁을 주는
