pessimistic|비관적인, 염세적인
incorporate|법인 조직으로 만들다; ~을 포함하다
transport|수송하다, 나르다; 수송
wage|임금, 급료
solemn|진지한, 엄숙한
auction|경매; 경매하다
harvest|수확, 추수; 수확하다
wagon|4륜차; (노상의) 물건 파는 수레, 짐마차
ironic(al)|반어적인, 빗대는
barter|물물 교환; 물물 교환을 하다
reap|(농작물을) 베어들이다, 수확하다
constrain|강요하다; 제한하다
enterprise|기업(체), 회사; 사업
narrative|서술의; 이야기, 담화
dismal|음침한, 어두운, 울적한
formidable|무서운; 만만치 않은
boost|신장시키다; 격려; 증가
shipment|선적, (화물의) 발송
thrift|검약, 절약
vigorous|활발한, 격렬한; 활기찬, 건강한
miserable|비참한, 불행한
horror|공포, 무서움
tragic|비극적인; 매우 슬픈
currency|통화, 화폐; (화폐의) 유통
sterile|(토지가) 불모의, 메마른; 균이 없는
budget|예산; 예산안
monetary|화폐의, 통화의
satirical|풍자적인, 비꼬는
incentive|포상물, 인센티브; 자극, 동기
chaotic|혼돈된, 무질서한, 혼란한
debt|빚, 부채
lease|임대차 계약; 임대하다
dreadful|지독한, 몹시 싫은
melancholic|우울한, 침울한
exotic|외래의; 이국풍의
negative|적대적인, 부정적인
amicable|우호적인, 평화적인
barren|불모의; 열매를 맺지 못하는
serene|잔잔한, 평온한
hazardous|위험한, 모험적인
frightening|겁을 주는
dreary|쓸쓸한, 음울한, 황량한
cruel|잔인한, 잔혹한; 비참한
risky|모험적인, 대담한, 위험한
stunning|깜짝 놀라게 하는; 놀랄 만큼 아름다운[멋진]
vessel|배; 용기, 그릇
admirable|감탄할 만한
affiliate|제휴하다; 지부
stock|주식; 재고; 저장
urgent|긴박한, 긴급한
loan|대여; 융자금; 빌려주다
ominous|불길한, 기분이 나쁜
freight|운송[적재] 화물; 화물을 싣다; 운송하다
yearn|동경하다, 그리워하다; 열망하다
collapse|(가격이) 폭락하다; 무너지다, 붕괴하다
cynical|냉소적인; 비관적인
informative|정보를 주는, 유익한
industrialized|공업화된, 산업화된
commercial|상업의, 무역의; 광고 방송
exclusive|독점적인; 고급의; 독점 기사
