innocent|죄 없는, 결백한
metaphor|은유
verify|입증하다
biomass|생물량; 바이오매스
criminal|범죄자, 범인; 범죄의
legislate|법률을 제정하다, 입법하다
rhyme|운, 압운
pottery|도기; 도기 제조법
plot|줄거리; 음모
cheat|속이다; 사기꾼; 속이기
acid|산; 산성의
marine|바다의, 바다에 사는
legalize|법률화하다, 합법화하다
context|문맥; (사건 따위의) 정황
jail|교도소, 감옥; 투옥하다
penalty|형벌, 벌금
detergent|세제
literature|문예, 문학
comply|따르다, 준수하다
landfill|쓰레기 매립(지)
prosecute|기소하다, 고소하다
urban|도시의, 도시에 사는
author|저자, 작가
sin|죄; 위반; (죄를) 짓다
mo(u)ld|(주조용의) 틀; 성격; 본뜨다
sue|소송을 제기하다, 고소하다
litter|잡동사니, 쓰레기; 어지르다
legendary|전설적인, 아주 유명한; 전설에 나오는
contaminate|더럽히다, 오염시키다
witness|목격자; 목격하다; 증언하다
paradox|역설, 패러독스; 모순되는 말
pesticide|살충제, 농약
revenge|복수; 복수하다
imprison|투옥하다, 수감하다
outrage|격노; 불법 행위; 격분하게 하다
clue|줄거리; 실마리; ~에 암시를 주다
jury|배심(원단)
rebellion|반란, 폭동
consensus|의견 일치, 합의
aesthetic|미의, 미학의
lawsuit|소송
forbid|~을 금지하다, 막다
patent|특허(권); 특허를 받은; 특허권을 얻다
sculpture|조각; 조각술
kidnap|유괴하다, 납치하다
choir|합창단, (교회의) 성가대
intertwine|뒤얽히다; 밀접하게 관련되다
summary|요약, 개요
attorney|변호사
enact|(법령을) 제정하다, 규정하다; 상연하다
guilty|죄를 범한, 유죄의; 죄책감이 드는
epic|서사시의; 서사시; 대하 소설
code|법전; 규범; 암호
chant|노래, 문구; 일제히 외치다
infringe|어기다, 위반하다, (권리를) 침해하다
ecosystem|생태계
warranty|보증(서)
victim|피해자
theft|도둑질, 절도죄
resource|자원; 원천
