bunch|송이, 다발
chill|추위; 추운, 한기가 도는
peculiar|이상한, 별난; 특이한
global|전 세계의, 지구상의
humid|습기 찬, 습한
eager|열망[갈망]하는; 열심인
freeze|얼다, 결빙하다; 몹시 춥다
violent|격렬한, 맹렬한; 폭력적인
merciless|무자비한, 잔인한
masculine|남성의; 남자다운
sincere|성실한; 참된
insecticide|살충제
cliff|벼랑, 절벽
ripe|여문, 익은
faithful|충실한; 신의 있는
beast|동물, 짐승
grim|불쾌한; 엄격한; 험악한
fierce|사나운, 거친; 잔인한
roar|으르렁거리다; 고함치다; 포효
deliberate|신중한; 고의의, 계획적인
awkward|다루기 힘든; 어색한; 서투른
beak|(새의) 부리
weird|이상한, 괴상한
cave|굴, 동굴
drought|가뭄
grain|곡식알, 낟알; 곡물, 곡류
dampen|축축하게 하다, 적시다; 풀죽게 하다
frost|얼어붙는 추위; 서리, 서릿발
hatch|깨다, 부화하다; 출입구
timid|겁 많은, 소심한
arrogant|건방진, 거만한
courteous|예의 바른, 공손한
dawn|새벽; 시작; 날이 새다
naughty|말을 듣지 않는
intimate|친밀한, 친숙한
ambitious|대망을 품은, 야망을 가진
wicked|사악한; 심술궂은
disaster|재해, 천재
copper|구리, 동
moist|습한, 축축한
frank|솔직한, 가식이 없는
clumsy|어색한; 서투른
sturdy|튼튼한, 힘센; 견고한
mischievous|장난이 심한, 개구쟁이의
livestock|가축(류)
tolerant|관대한, 아량이 있는
cattle|소; 가축
naive|순진한, 천진난만한
loyal|충성스러운, 충의가 있는
lamb|어린[새끼] 양; (새끼 양을) 낳다
turbulence|폭풍 상태; 난기류; 소란
stubborn|완고한, 고집 센
greedy|욕심 많은, 탐욕스러운
charming|매력적인
hail|우박, 싸락눈
brutal|야만적인; 잔혹한, 무자비한
breeze|산들바람
nasty|비열한; 더러운, 불쾌한
tropic|열대 지방
weed|잡초; 잡초를 뽑다
