defeat|패배시키다, 쳐부수다; 패배
foe|적
erupt|분출하다, 폭발하다
cosmos|우주
orbit|궤도; 선회하다, 궤도를 그리며 돌다
tyranny|전제 정치; 횡포
hemisphere|반구
suck|빨다; 빨아들이다, 흡수하다
strategy|전략; 계략, 술수
triumph|승리(감); 승리를 차지하다
comet|혜성
float|(물 위에) 뜨다, (물 위·공중에서) 떠다니다
assault|습격; 급습하다, 공격하다
evaporate|증발하다[시키다]
fossil|화석
dignity|존엄, 위엄; 엄숙함
glacier|빙하
astronaut|우주 비행사
vote|투표; 투표[선거]권; 투표하다
slaughter|대학살; 대학살하다; (가축을) 도살하다
landscape|풍경, 경치
shield|방패; 방어물; 보호하다
erode|침식하다[되다]
tactics|전술(학); 술책
battlefield|전쟁터, 싸움터
devastate|황폐시키다, 철저하게 파괴하다
govern|다스리다, 통치하다; 결정하다
embassy|대사관
poll|투표; 여론 조사; (표를) 얻다
friction|마찰; 불화, 충돌
border|경계; 가장자리; 접경[인접]하다
solar|태양의
federal|연방의, 연방제의; 연방 정부의
atom|원자
vapor|증기
atmosphere|대기(권); 분위기
meteorite|운석
satellite|위성, 인공위성
throne|왕좌, 왕위; 군주
melt|녹다, 녹이다
nuclear|핵의; 핵무기의
aquatic|물의; 물속에 사는
cannon|대포
candidate|후보자, 지원자
salute|경례; 경례하다; 인사하다
spear|창, 투창; 창으로 찌르다
filter|거르다, 여과하다[되다]; 여과기
reflex|반사 작용; 반사 신경
element|요소, 성분; 원소
troop|무리, 떼; 군대
martial|전쟁의; 군의, 군사의
parliament|의회, 국회
chemical|화학의, 화학적인; 화학 제품[물질]
fluid|유동성의; 유동적인; 유동체
bombard|포격[폭격]하다
elastic|탄력 있는, 탄성의; 고무줄
authority|권위; 당국; 권위자
senator|상원 의원
tide|조수(의 간만); 경향
galaxy|은하(수), 은하계
