knock down|~을 때려눕히다
look through|샅샅이 뒤지다
sum up|요약하다
throw up|토하다
pile up|~을 쌓다; 축적하다
get through|통과하다; 해내다, ~을 끝내다
calm down|가라앉다, 진정하다
cut down|~을 베어 넘어뜨리다, 벌목하다
cover up|숨기다, 은폐하다
pull up|서다, 멈추다
go through|겪다, 경험하다; 견디다
catch up with|따라잡다; 만회하다
make up for|만회하다, 보충하다
warm up|준비운동을 하다
turn down|~을 거절하다
set up|시작하다, 창설하다; ~을 건립하다, 세우다
shut down|폐쇄하다, 문을 닫다
put through|(시험·시련 등을) 받게 하다; ~을 성사시키다
back up|~을 지원하다
come through|성공하다, 해내다; 살아남다
hang up|~을 걸다, 매달다; 전화를 끊다
turn up|(모습이) 나타나다; 도착하다
take down|(위치를) 내리다, 낮추다; 받아적다
use up|~을 다 써버리다, 소모하다
break down|고장 나다
hand down|~을 전하다, (후세에) 물려주다
come up with|~이 생각나다, 창안하다
get down|~에서 내리다
hold down|~을 억누르다, 억제하다
take up|~을 시작하다
look up to|~을 존경하다
stay up|자지 않고 일어나 있다
be through|끝내다, 완료하다
tear down|~을 부수다, 철거하다
go through with|~을 끝까지 해내다, 완성하다
hold up|지연시키다; 정지하다, 서다
be up to|~에게 달렸다
end up|결국 ~하게 되다
come up to|~에 도달하다
put down|~을 진압하다, 억누르다; 적어두다
break up|갈라서다; 박살을 내다
bring down|~을 내리다, 인하하다; 떨어뜨리다
settle down|정착하다; 진정하다, 안정되다
boil down|요약하다; (물·찌개 등을) 졸이다
come down to|결국 ~이 되다; ~에 이르다
go down|감소하다, 떨어지다
keep up with|뒤떨어지지 않다
pick up|~을 집어 올리다; 도중에 태우다
come down with|(~의 병에) 걸리다
look down on|~을 깔보다, 얕보다
carry through|~을 완수하다, 수행하다
mark down|값을 내리다
break through|~을 뚫고 지나가다, 돌파하다
bring up|~을 기르다, 양육하다; 제기하다
stand up for|~을 옹호하다, 지지하다
fall down|넘어지다; 떨어지다
blow up|폭발하다, 터지다
live up to|어울리는 생활을 하다; (기대 등에) 부응하다
look up|~을 찾다, 조사하다
put up with|참다, 견디다
