boil down|요약하다; (물·찌개 등을) 졸이다
turn off|잠그다; 끄다
come through|성공하다, 해내다; 살아남다
take on|~을 떠맡다; ~을 고용하다
count on|기대다, 의존하다
work on|~에 효과가 있다, 작용하다
break down|고장 나다
build on|~을 기반으로 하다; (~에) 증축하다
give off|(냄새를) 풍기다, ~을 발[발산]하다
try on|~을 입어보다
get down|~에서 내리다
calm down|가라앉다, 진정하다
bring down|~을 내리다, 인하하다; 떨어뜨리다
shut down|폐쇄하다, 문을 닫다
come down with|(~의 병에) 걸리다
come down to|결국 ~이 되다; ~에 이르다
cut down|~을 베어 넘어뜨리다, 벌목하다
break through|~을 뚫고 지나가다, 돌파하다
go down|감소하다, 떨어지다
drop off|~을 도중에 차에서 내려놓다; 줄다
depend on|~에 달렸다; 의존하다
knock down|~을 때려눕히다
hang on|~에 매달리다, 걸다; 기다리다
act on|~에 작용하다, 영향을 주다
let on|(비밀 등을) 누설하다
show off|~을 과시하다
call off|~을 취소하다, 철회하다
carry through|~을 완수하다, 수행하다
hold on to|~을 고수하다, 집착하다; ~을 꽉 붙잡다
carry off|~을 훌륭히 해내다
fall down|넘어지다; 떨어지다
pay off|전액을 지불하다; 대가를 얻다
go through with|~을 끝까지 해내다, 완성하다
base on|~을 근거로 하다
go through|겪다, 경험하다; 견디다
tear down|~을 부수다, 철거하다
be through|끝내다, 완료하다
set off|출발하다; ~을 폭발시키다
take off|~을 벗다; 이륙하다
settle down|정착하다; 진정하다, 안정되다
turn down|~을 거절하다
ease off|누그러지다, 완화되다
put through|(시험·시련 등을) 받게 하다; ~을 성사시키다
hand down|~을 전하다, (후세에) 물려주다
go on|계속하다; (일이) 일어나다
see off|배웅하다
keep off|떼어놓다, 가까이 못 오게 하다; 막다
break off|(~와의) 관계를 단절하다; (협상 등이) 결렬되다
cut off|~을 끊다; (말을) 가로막다
carry on|~을 계속하다
look through|샅샅이 뒤지다
put off|~을 연기하다, 늦추다
get through|통과하다; 해내다, ~을 끝내다
lay off|~을 해고하다
look down on|~을 깔보다, 얕보다
mark down|값을 내리다
dwell on|~을 깊이 생각하다, 되풀이해서 생각하다
put down|~을 진압하다, 억누르다; 적어두다
take down|(위치를) 내리다, 낮추다; 받아적다
hold down|~을 억누르다, 억제하다
