take off|~을 벗다; 이륙하다
hand in|~을 제출하다
cut in|끼어들다, 간섭하다
burst into|갑자기 ~하기 시작하다
fit in|어울리다, 조화하다
pay off|전액을 지불하다; 대가를 얻다
give off|(냄새를) 풍기다, ~을 발[발산]하다
believe in|~의 존재를 믿다
carry off|~을 훌륭히 해내다
drop off|~을 도중에 차에서 내려놓다; 줄다
ease off|누그러지다, 완화되다
kick in|효과가 나타나기 시작하다
give in|(~에게) 항복하다; (마지못해) 동의하다[받아들이다]
carry on|~을 계속하다
go on|계속하다; (일이) 일어나다
cut off|~을 끊다; (말을) 가로막다
take in|섭취하다, 흡수하다
hold on to|~을 고수하다, 집착하다; ~을 꽉 붙잡다
break off|(~와의) 관계를 단절하다; (협상 등이) 결렬되다
try on|~을 입어보다
look in|(특히 아프거나 도움이 필요한 사람의 집에) 들르다
stand by|대기[준비]하다; 곁에 있다
hang on|~에 매달리다, 걸다; 기다리다
run into|우연히 만나다
drop by|(잠시) 들르다
build on|~을 기반으로 하다; (~에) 증축하다
count on|기대다, 의존하다
talk A into B|A를 설득하여 B를 시키다
come by|~에 들르다; ~을 얻다, 입수하다
step in|끼어들다, 간섭하다
work on|~에 효과가 있다, 작용하다
fill in|~에 적어 넣다
get by|그럭저럭 살아[해]나가다
come in|도착하다
pass by|~을 그냥 지나치다, 모른 체하고 지나가다
let on|(비밀 등을) 누설하다
take on|~을 떠맡다; ~을 고용하다
depend on|~에 달렸다; 의존하다
see off|배웅하다
turn in|~을 건네다, 제출하다
get in|(안에) 들어가다; (차에) 타다
break into|~에 침입하다
look into|~을 조사하다
keep off|떼어놓다, 가까이 못 오게 하다; 막다
put in for|~을 신청하다; 요청하다
get into|~에 들어가다; 입학 허가를 받다
act on|~에 작용하다, 영향을 주다
show off|~을 과시하다
bump into|~와 부딪치다; ~와 우연히 만나다
set off|출발하다; ~을 폭발시키다
lay off|~을 해고하다
dwell on|~을 깊이 생각하다, 되풀이해서 생각하다
turn off|잠그다; 끄다
drop in|(잠시) 들르다
go into|~을 조사하다, 연구하다
stop by|(잠시) 들르다
call off|~을 취소하다, 철회하다
put off|~을 연기하다, 늦추다
be into|~에 열중하다, ~에 푹 빠져 있다
base on|~을 근거로 하다
