pay for|~의 대가를 지불하다, 물어주다
speak for|~을 대변하다
take out|꺼내다, 끄집어내다
turn out|판명되다, 결국 ~임이 드러나다; 끄다
reach for|손을 뻗다
set out|출발하다, 길을 떠나다; 배열하다
sign up for|~을 신청하다
leak out|(비밀·정보 등이) 누설되다; (불빛·말소리 등이) 새다
sort out|가려내다, 선별하다
rule out|~을 제외하다, 배제하다
point out|~을 가리키다, 지적하다
give out|~을 배포하다; (소리·빛을) 내다, 발산하다
break out|일어나다, 발생하다
check out|(호텔에서) 체크아웃하다; 검사하다
go for|적용되다, ~으로 통하다
apply for|신청하다; 지원하다
leave out|~을 빼다, 제외하다
call for|요구하다, 청하다
fill out|~에 기입하다
come out|발간되다; 알려지다, 드러나다
stand for|상징하다, 의미하다
figure out|이해하다; 계산하다
pray for|간절히 바라다
substitute for|~을 대신[대리]하다
ask for|요구하다, 요청하다
get out of|~에서 나오다, 벗어나다
care for|돌보다; 좋아하다
grow out of|~에서 생겨나다; ~이 작아지다
cry out|크게 소리치다; 강력히 항의[반대]하다
fade out|사라지다, 희미해지다
pass out|의식을 잃다, 기절하다; 배포하다
speak out|이야기하다, 분명하게 말하다
be for|찬성하다; 지지하다
spell out|상세히 설명하다
burn out|타버리다; 기진맥진하게 하다
map out|계획하다, 구상하다
head for|~로 향해 가다
make out|작성하다; 이해하다
long for|갈망하다; 그리워하다
drop out|빠지다, 손을 떼다; 중퇴하다
try out|써보게 하다, 시험하다
make for|~로 향해 가다
call out|소리치다, 소리쳐 부르다
take for|~이라고 (잘못) 생각하다
cut out|잘라내다, 제거하다
run for|출마하다
hand out|~을 나누어주다, 배포하다
carry out|실행하다, 이행하다
be sold out|매진되다
count out|세어보다; ~을 제외하다
run out of|~을 다 써버리다, ~을 바닥내다
work out|운동하다; (문제를) 풀다
stand out|눈에 띄다
put out|~을 끄다
act for|~의 대리[대행]를 하다
lay out|설계하다; 펼치다, 진열하다
keep out|~을 안에 들이지 않다
root out|~을 뿌리뽑다, 근절하다
wear out|~을 써서 낡게 하다, 닳다; 지치게 하다
stick out|튀어나오다; 두드러지다
