do over|다시 하다; 다시 꾸미다
wear out|~을 써서 낡게 하다, 닳다; 지치게 하다
cry over|~에 대해 한탄하다
move over|(자리를 만들려고) 자리를 옮기다
turn out|판명되다, 결국 ~임이 드러나다; 끄다
act for|~의 대리[대행]를 하다
ask for|요구하다, 요청하다
substitute for|~을 대신[대리]하다
be for|찬성하다; 지지하다
call for|요구하다, 청하다
work out|운동하다; (문제를) 풀다
stand for|상징하다, 의미하다
pray for|간절히 바라다
speak for|~을 대변하다
chew over|~을 심사숙고하다
go over|잘 살펴보다, 검사하다
hold over|연기하다
fall over|넘어지다, ~에 걸려 넘어지다
argue over|왈가왈부하다, 논쟁하다
take for|~이라고 (잘못) 생각하다
talk over|~에 관해 상의하다
hand over|건네주다, 넘겨주다
look over|대강 훑어보다
get over|극복하다; 낫다, 회복하다
pass over|무시하다
spread over|퍼지다
sign up for|~을 신청하다
spell out|상세히 설명하다
stand out|눈에 띄다
bring over|가지고 오다, 데리고 오다
pay for|~의 대가를 지불하다, 물어주다
check over|점검하다, 검사하다
go for|적용되다, ~으로 통하다
apply for|신청하다; 지원하다
stick out|튀어나오다; 두드러지다
pass out|의식을 잃다, 기절하다; 배포하다
long for|갈망하다; 그리워하다
head for|~로 향해 가다
think over|~을 숙고하다
read over|~을 끝까지 읽다, 통독하다
run over|(차가) 치다
turn over|넘겨주다; 뒤집다
take over|인계받다, 일을 넘겨받다
kick over|(~을) 차서 뒤엎다
take after|닮다
go after|뒤쫓다
care for|돌보다; 좋아하다
take out|꺼내다, 끄집어내다
come over|오다, 찾아오다; 엄습하다
look after|~을 돌보다, 보살펴 주다
try out|써보게 하다, 시험하다
run for|출마하다
reach for|손을 뻗다
run after|뒤쫓다
pull over|차를 (길) 한쪽에 대다
make for|~로 향해 가다
speak out|이야기하다, 분명하게 말하다
sort out|가려내다, 선별하다
name A after B|B의 이름을 따서 A의 이름을 짓다
stay over|하룻밤 머물다, 외박하다
