talk over|~에 관해 상의하다
set about|착수하다
wear away|닳아 없애다, 마멸시키다
cut away|베어내다, 잘라내다
run over|(차가) 치다
bring about|불러일으키다, 초래하다
stay away|떨어져 있다, 멀리하다
cry over|~에 대해 한탄하다
come about|일어나다, 발생하다
remind A of B|A에게 B를 생각나게 하다, 상기시키다
read over|~을 끝까지 읽다, 통독하다
fade away|사라지다, 사라져 버리다
put away|~을 치우다
bring over|가지고 오다, 데리고 오다
run away|도망치다
go after|뒤쫓다
look over|대강 훑어보다
hand over|건네주다, 넘겨주다
turn over|넘겨주다; 뒤집다
pass away|죽다
accuse A of B|A를 B의 혐의로 고소[비난]하다
check over|점검하다, 검사하다
take over|인계받다, 일을 넘겨받다
keep away|멀리하다, 피하다
pull over|차를 (길) 한쪽에 대다
go about|돌아다니다; 착수하다
fall over|넘어지다, ~에 걸려 넘어지다
throw away|버리다; 낭비하다
pass over|무시하다
move over|(자리를 만들려고) 자리를 옮기다
die away|잠잠해지다, 점차 희미해지다
hear about|~에 관해 알게 되다
do over|다시 하다; 다시 꾸미다
kick over|(~을) 차서 뒤엎다
ease A of B|A로부터 B를 덜어주다
think over|~을 숙고하다
send away|~을 추방하다, 내쫓다
approve of|동의하다, 승인하다
run after|뒤쫓다
get over|극복하다; 낫다, 회복하다
deprive A of B|A로부터 B를 빼앗다
look after|~을 돌보다, 보살펴 주다
take away|가져가다; (식탁을) 치우다
take after|닮다
argue over|왈가왈부하다, 논쟁하다
chew over|~을 심사숙고하다
wash away|씻겨 내려가다, 흘러 떠내려가게 하다
get away|도망치다, 탈출하다
go away|떠나다, 가버리다
go over|잘 살펴보다, 검사하다
hold over|연기하다
stay over|하룻밤 머물다, 외박하다
turn away|내쫓다
rob A of B|A로부터 B를 빼앗다
come over|오다, 찾아오다; 엄습하다
give away|거저 주다; (비밀을) 누설하다
come away|벗겨지다, 떨어져 나가다; 떠나다, 멀어지다
carry away|도취시키다, 넋을 잃게 하다
spread over|퍼지다
name A after B|B의 이름을 따서 A의 이름을 짓다
