stay away|떨어져 있다, 멀리하다
ease A of B|A로부터 B를 덜어주다
take away|가져가다; (식탁을) 치우다
throw away|버리다; 낭비하다
come across|(우연히) 마주치다, 발견하다
pass away|죽다
bring about|불러일으키다, 초래하다
rest with|~에 달렸다
get away with|벌 받지 않고 해내다; 대충 넘어가다
cut away|베어내다, 잘라내다
go about|돌아다니다; 착수하다
cut across|(가운데로) 지나가다, 가로질러 가다
get away|도망치다, 탈출하다
carry away|도취시키다, 넋을 잃게 하다
break with|버리다; 결별하다
fade away|사라지다, 사라져 버리다
come away|벗겨지다, 떨어져 나가다; 떠나다, 멀어지다
dispense with|생략하다; ~없이 지내다
wash away|씻겨 내려가다, 흘러 떠내려가게 하다
prefer A to B|B보다 A를 더 좋아하다
charge A with B|A를 B로 고소[비난]하다
set about|착수하다
get across|이해시키다
rob A of B|A로부터 B를 빼앗다
get to|~에 도착하다; ~하기 시작하다
keep to|지키다, 따르다; 이탈하지 않다
occur to|떠오르다
wear away|닳아 없애다, 마멸시키다
remind A of B|A에게 B를 생각나게 하다, 상기시키다
hold to|붙들다, 고수하다
come with|~을 수반하다
do without|~없이 지내다[견디다]
run across|(우연히) 만나다, 찾아내다
turn to|~에 의지하다, 의탁하다
hear about|~에 관해 알게 되다
send away|~을 추방하다, 내쫓다
turn away|내쫓다
approve of|동의하다, 승인하다
appeal to|간청하다, 호소하다; 흥미를 끌다
look to|~을 기대하다
accuse A of B|A를 B의 혐의로 고소[비난]하다
keep away|멀리하다, 피하다
run away|도망치다
deprive A of B|A로부터 B를 빼앗다
come to|떠오르다, 생각나다
do away with|~을 없애다, 끝내다
go away|떠나다, 가버리다
amount to|총계가 ~이다
plead with|~에게 간청[애원]하다
come about|일어나다, 발생하다
die away|잠잠해지다, 점차 희미해지다
give away|거저 주다; (비밀을) 누설하다
adhere to|고수[고집]하다; 들러붙다
stick to|고수하다; 계속하다
go with|~와 어울리다; ~에 부수되다, 부속되다
lead to|(어떤 결과에) 이르다, 초래하다
see to|~을 처리하다, ~을 맡아 하다
put away|~을 치우다
put across|이해시키다
attend to|~에 주의를 기울이다; ~을 돌보다
