be concerned about|~을 걱정하다
on charges of|~의 혐의로
get to|~에 도착하다; ~하기 시작하다
compare A to B|A를 B에 비유하다
consist of|~으로 구성되다, 이루어져 있다
be possessed of|(재능을) 갖추다; (성품을) 지니다
adhere to|고수[고집]하다; 들러붙다
run across|(우연히) 만나다, 찾아내다
provide for|(생계를) 부양하다; 대비하다
turn to|~에 의지하다, 의탁하다
put across|이해시키다
occur to|떠오르다
deal in|취급하다, 팔다; ~에 종사하다
be familiar to|익숙하다, 잘 알려져 있다
amount to|총계가 ~이다
prefer A to B|B보다 A를 더 좋아하다
be familiar with|정통하다, 잘 알고 있다
in charge (of)|(~을) 맡고 있는, 담당의
interfere with|~을 방해하다
look to|~을 기대하다
succeed in|~에 성공하다
go with|~와 어울리다; ~에 부수되다, 부속되다
consist in|~에 있다, 존재하다
charge A with B|A를 B로 고소[비난]하다
come with|~을 수반하다
wait for|~을 기다리다
break with|버리다; 결별하다
interfere in|~을 간섭하다
wait on|시중을 들다
get away with|벌 받지 않고 해내다; 대충 넘어가다
hold to|붙들다, 고수하다
be concerned with|~와 관계가 있다
appeal to|간청하다, 호소하다; 흥미를 끌다
dispense with|생략하다; ~없이 지내다
may as well|~하는 게 좋다
be subject to|~하기 쉽다
be possessed by|사로잡히다; 홀리다
rest with|~에 달렸다
stick to|고수하다; 계속하다
see to|~을 처리하다, ~을 맡아 하다
take place|개최되다, 일어나다
result from|~에서 기인하다, 비롯되다
attend to|~에 주의를 기울이다; ~을 돌보다
lead to|(어떤 결과에) 이르다, 초래하다
come to|떠오르다, 생각나다
may well|(~하는 것도) 당연하다
provide A with B|A에게 B를 제공하다
do away with|~을 없애다, 끝내다
get across|이해시키다
subject to|~을 조건[전제]으로 하여
succeed to|~을 물려받다, 계승하다
compare A with B|A와 B를 비교하다
do without|~없이 지내다[견디다]
keep to|지키다, 따르다; 이탈하지 않다
deal with|~을 처리하다, 대응하다; 거래하다
plead with|~에게 간청[애원]하다
come across|(우연히) 마주치다, 발견하다
result in|~로 끝나다, 초래하다
cut across|(가운데로) 지나가다, 가로질러 가다
take the place of|~을 대신하다
