local|지역의, 현지의; 주민, 현지인
blame|비난(하다), ~을 탓하다; 책망
article|기사; 물품; 조항
reject|거절하다, 거부하다
regret|후회(하다); 유감(스럽게 생각하다)
compliment|칭찬(하다)
found|설립하다; ~에 기초를 두다
confuse|혼란시키다; 혼동하다
independent|독립한; 자립심이 강한
document|문서, 서류, 기록
ban|금지(하다)
relax|쉬다, 긴장을 풀다; (법·규제를) 완화하다
term|기간, 임기; 용어; 학기
furthermore|더욱이, 게다가
brilliant|훌륭한; 명석한; 빛나는
companion|동료; 안내서, 지침서
expand|넓히다, 확장[확대]하다
despite|~에도 불구하고
draft|초고, 초안
cue|신호; 신호를 주다, 지시를 보내다
aggressive|공격적인; 적극적인
general|일반적인; 대체적인; 장군
amplify|증폭시키다
exhibit|전시하다; 전시(품)
immense|엄청난, 어마어마한
injured|다친; (감정이) 상처를 받은
flawless|흠이 없는
average|평균(의); 표준, 보통 수준
merge|합병[병합]하다, 합치다
beneath|바로 밑에, 아래에
magnify|확대하다; 과장하다
blend|혼합하다; 조화되다; 혼합물
gradual|점진적인, 차츰~하는
judge|판단하다; 판정하다; 심판
cognitive|인식의, 인지의
dominant|지배적인, 우위를 차지하는
current|현재의; 흐름; 경향, 풍조
isolate|격리시키다, 고립시키다
balance|균형(을 잡다); 잔액; 저울
agency|대리점, 대행사; 기관
behavior|행동, 행위, 태도
principal|주요한; 교장, 학장
neglect|방치하다; 무시하다; 태만
elect|선출하다, 선임하다
obligation|의무, 책임
abandon|버리다, 떠나다; 포기하다, 단념하다
principle|원리, 원칙; 주의, 신념
invest|투자하다
emerge|나오다, 나타나다
complement|보충물, 보완하는 것; 보완[보충]하다
designate|지정하다, 지명하다; (기호를 써서) 표시하다
convince|확신시키다, 납득시키다; 설득하다
refuse|거절하다, 사절하다
apology|사과, 사죄
identical|동일한, 일치하는
phase|국면, 단계(적으로 실행하다)
boast|자랑하다, 뽐내다
analyze|분석하다, 검토하다
operate|작동하다; 운영하다; 수술하다
expend|(시간·노력·돈 등을) 들이다, 소비하다
