expertise|전문 지식[기술]
opposite|정반대의; 반대(쪽의); ~의 맞은편에
purify|정화하다; 순화하다
compensate|보상하다, 변상하다
compete|경쟁하다; 겨루다
survive|살아남다; (위기 등을) 견뎌 내다
confident|자신 있는; 확신하는
observe|관찰하다; (법·관습 등을) 지키다
lay|놓다, 두다; (알을) 낳다
fold|접다; (팔 등을) 끼다
approve|찬성하다; 승인하다
dread|몹시 무서워하다; 두려움
string|끈, 줄; 묶다
innovate|혁신하다, 쇄신하다
valueless|가치 없는, 하찮은
applaud|박수갈채하다; 칭찬하다
display|전시[진열](하다); 표현, 과시
vibrate|흔들리다, 진동하다
orphan|고아
soak|흠뻑 적시다; 담그다[담기다]
stir|휘젓다; 움직이다; 마음을
primary|주요한; 최초의
plain|명백한; 무늬가 없는; 평지, 평원
merit|장점; (칭찬할 만한) 가치, 우수성
nominate|지명하다, 임명하다
split|분열되다[시키다]; 나뉘다[나누다]
enormous|거대한, 엄청난
considerable|상당한, 적지 않은
grade|등급; 학년; (등급별로) 나누다
annual|매년의, 연례의
shift|이동하다; 바꾸다; 변화
range|범위; 다양성; (범위가 ~에서 …에) 이르다
purpose|목적, 의도
investigate|조사하다, 연구하다
produce|생산하다; 야기하다; 농산물
explode|폭발하다[시키다]
considerate|사려 깊은, 이해심[동정심]이 많은
bump|충돌하다; (부딪치는 소리) 쿵; 타박상
invaluable|매우 유용한, 귀중한
acquire|얻다, 습득하다; 획득하다
conserve|보존하다, 보호하다
trigger|촉발시키다; 방아쇠; 계기
obscure|모호한; 잘 알려지지 않은; 모호하게 하다
recover|회복하다; 되찾다
confidential|비밀의, 기밀의
spread|퍼뜨리다, 확산(되다); 펼치다
deserve|~할 가치가 있다, ~을 받을 만하다
license|면허(를 주다), 인가; 허가하다
exploit|이용하다, 착취하다; (자원 등을) 개발하다
reserve|따로 떼어두다; 예약하다; 비축(물)
figure|수치; (중요) 인물; 모습, 사람
virtue|미덕, 덕목; 장점
lie|눕다; (~의 상태로) 있다; 거짓말(하다)
electronic|전자의, 전자공학의
accomplish|성취하다, 완수하다
facilitate|촉진하다, 용이하게 하다
regulate|규제하다; 조정하다
valuable|값비싼; 귀중한
escape|달아나다, 탈출(하다); 도피
scatter|(흩)뿌리다; 흩어지다[흩어지게 하다]
