confront|직면하다; 맞서다
combat|전투; 싸우다, 투쟁하다
respectable|존경할 만한, 훌륭한
accompany|동행하다, 동반하다; 수반하여 일어나다
unify|통일하다, 통합하다
routine|틀에 박힌 일, 일과; 일상적인; 지루한
prohibit|금지하다; ~하지 못하게 하다
equipment|장비, 용품; 설치, 설비
compromise|타협(하다), 절충; 화해하다
splendid|화려한, 아주 인상적인
remain|여전히 ~인 채로 있다; 남다; 남은 것, 유적
successful|성공한, 성공적인
appropriate|적절한, 알맞은
conform|(관습 등에) 따르다, 순응하다
contagious|전염성의, 옮기 쉬운
specific|구체적인, 명확한; 특정한
abuse|남용(하다); 학대(하다)
respective|각각의, 개개의
prolog(ue)|서두 부분; 전조, 발단
controversial|논쟁의, 논쟁의 여지가 있는
successive|연속적인, 연이은
contrast|대조(가 되는 것); 대조하다; 대조를 이루다
revolution|혁명
respectful|공손한, 존경[존중]하는
horizon|지평선, 수평선; 시야
treat|대우하다; 치료하다; 대접하다
whereas|그런데, ~에 반해서
advocate|옹호하다; 옹호자; 변호사
abnormal|이상한, 비정상적인
geometry|기하학
ruin|망치다; 파괴, 붕괴; 잔해
counterfeit|위조하다; 위조의, 가짜의
accumulate|모으다[모이다], 축적하다[되다]
implication|함축, 암시; 영향, 결과
punish|처벌하다, 벌주다
raise|올리다; 모금하다; 기르다
prolong|연장하다, 연기하다
inhibit|억제하다, 못하게 하다
comparable|비슷한; ~에 필적하는
initial|처음의, 초기의; 이름의 첫 글자
prophecy|예언(력)
coincidence|(우연의) 일치
pretend|~인 척하다, 가장하다
geology|지질학; (어떤 지역의) 지질학적 특징
condense|응결[농축]시키다, 응결되다; 요약하다
distinguish|구별하다, 식별하다
counteract|(악영향에) 대응하다, (효력을) 중화하다
contrary|반대의, 정반대인; 반대(되는 것)
reproduce|번식하다; 재생하다; 복사하다
reform|개혁(하다[되다]), 개선(하다[되다])
separate|분리하다[되다]; 분리된; 별개의
geography|지리학; 지형, 지리
intuition|직관력; 직감, 직관
recharge|충전하다
comparative|비교의; 상대적인
translate|번역하다, 해석하다
accustomed|익숙해진, 길들여진
compile|편집하다 편찬하다; (자료를) 수집하다
erase|지우다, 삭제하다
trait|특성, 특징
