extraordinary|비범한, 대단한; 이상한
depart|출발하다, 떠나다
endure|참다, 견디다
combat|전투; 싸우다, 투쟁하다
abnormal|이상한, 비정상적인
pros and cons|찬반양론, 장단점
compile|편집하다 편찬하다; (자료를) 수집하다
extinct|멸종된, 사라진; (화산 등이) 활동을 멈춘
advocate|옹호하다; 옹호자; 변호사
accumulate|모으다[모이다], 축적하다[되다]
extracurricular|정규 과목 이외의, 과외의
degrade|비하하다, 지위를 떨어뜨리다; 분해하다[되다]
enforce|시행하다, 집행하다; 강요하다
controversial|논쟁의, 논쟁의 여지가 있는
conform|(관습 등에) 따르다, 순응하다
geology|지질학; (어떤 지역의) 지질학적 특징
geography|지리학; 지형, 지리
antibiotic|항생제, 항생 물질
prolong|연장하다, 연기하다
prophecy|예언(력)
accustomed|익숙해진, 길들여진
contagious|전염성의, 옮기 쉬운
exceed|넘다, 초과하다
recharge|충전하다
coincidence|(우연의) 일치
compromise|타협(하다), 절충; 화해하다
condense|응결[농축]시키다, 응결되다; 요약하다
external|외부의, 밖의
irregular|고르지 않은, 불규칙한
confront|직면하다; 맞서다
counterfeit|위조하다; 위조의, 가짜의
reproduce|번식하다; 재생하다; 복사하다
enlighten|계몽하다, (설명하여) 이해시키다
encounter|(위험에) 부닥치다; 마주치다; 만남
enrol(l)|등록하다, 입학[입회]하다
antonym|반의어
accompany|동행하다, 동반하다; 수반하여 일어나다
reform|개혁(하다[되다]), 개선(하다[되다])
forecast|예보(하다), 예측(하다)
decode|(암호를) 해독하다
antarctic|남극 지방; 남극의
despise|경멸하다, 깔보다
illiterate|글을 모르는, 문맹의; 문맹자
counteract|(악영향에) 대응하다, (효력을) 중화하다
diameter|지름, 직경
contrary|반대의, 정반대인; 반대(되는 것)
contrast|대조(가 되는 것); 대조하다; 대조를 이루다
entitle|자격[권리]을 주다; (~라고) 표제를 붙이다
foretell|예언하다, 예고하다
impersonal|개인적인 감정을 섞지 않은; 비인격적인
enclose|둘러싸다; 동봉하다
geometry|기하학
abuse|남용(하다); 학대(하다)
dialect|방언, 사투리
revolution|혁명
exaggerate|과장하다
antipathy|반감
prolog(ue)|서두 부분; 전조, 발단
remain|여전히 ~인 채로 있다; 남다; 남은 것, 유적
endanger|위험에 빠뜨리다
