trivial|사소한, 하찮은
edible|먹을 수 있는, 식용의
strain|긴장(감); 잡아당기기; 힘껏 노력하다
synchronize|동시에 발생하다, 동시에 움직이다
conduct|수행(하다); 이끌다; 처신하다
tribe|부족, 종족
undergo|(변화 등을) 겪다, 경험하다
prestige|명성, 신망; 명성이 있는, 명품의
despair|절망(하다), 낙담
charitable|자선 (단체)의; 자선을 베푸는
underestimate|과소평가하다; (값을) 너무 적게 잡다
diverse|다양한, 가지각색의
upside down|거꾸로; 거꾸로의, 뒤죽박죽의
uphold|지지하다; 떠받치다
continent|대륙, 육지
dispensable|없어도 되는, 불필요한
hasten|서둘러 하다; 재촉하다, 앞당기다
worsen|악화되다, 악화시키다
react|반응하다; 반응을 나타내다
sympathetic|동정적인; 호의적인, 공감하는
vanish|사라지다, 소멸하다
deduct|빼다, 공제하다
synonym|동의어, 유의어
retail|소매(하다); 소매로
integrate|통합하다, 통합되다; 인종 차별을 철폐하다
navigate|길을 찾다; 항해[비행]하다
fasten|채우다; 잠그다; 고정시키다
educate|교육하다, 가르치다
upcoming|다가오는, 앞으로 올
retain|보유하다, 유지하다; (정보 등을) 기억하다
reverse|뒤집다; 반대(의); 뒤
synthetic|합성의, 인조의; 종합적인
vacuum|진공; 공백, 공허
converse|반대의; 정반대; 대화하다
abstain|기권하다; 삼가다, 절제하다
eligible|~을 가질[할] 수 있는; 신랑[신부]감으로 좋은
vacant|비어 있는; 빈자리의, 결원의
agony|극심한 고통; 극도의 슬픔
convert|전환하다, 개조하다; 개종하다
straighten|똑바르게 하다[되다]; 정리[정돈]하다
negotiable|협상할 수 있는
undergraduate|대학생(의), 학부생(의)
attain|달성하다, 이루다; 이르다
prosper|번영하다, 성공하다
strict|엄격한, 엄한; 엄밀한
upgrade|향상(시키다)
underlying|근본적인; 밑에 있는
tangible|만질 수 있는, 실체가 있는; 명백한
distress|괴롭히다, 근심하게 하다; 고통, 고뇌
duplicate|똑같은; 사본; 복사하다
divisible|나눌 수 있는, 나누어지는
bilingual|2개 국어를 구사할 수 있는; 2개 국어 구사자
twilight|황혼, 땅거미; 황혼기, 쇠퇴기
broaden|넓어지다, 넓히다
undertake|착수하다, 맡다; 약속하다
vain|헛된, 무익한; 허영심이 강한
audible|들리는, 들을 수 있는
vertical|수직의, 세로의; 수직(선)
sustain|유지하다; 지지하다; (손해·상처 등을) 입다
upright|똑바른; 올바른; 수직으로
