rule|규칙, 원칙; 지배(하다), 통치(하다)
alert|방심하지 않는; 경고하다; 경계
regard|여기다, 간주하다; 존경; 관심
addicted|중독된, 푹 빠진
affair|일, 활동; 사건, 스캔들
adequate|적절한, 충분한
donation|기부(금), 기증(품)
violate|위반하다, 어기다; 침해하다
adapt|적응하다[시키다]; 개조하다
interrupt|방해하다, 중단시키다
induce|권유하다; 유발하다
vivid|생생한, 선명한
enhance|높이다, 강화하다
extent|범위, 정도; 넓이, 크기
absorb|흡수하다; (정보·지식 등을) 받아들이다
reduce|감소시키다, 줄이다, 낮추다
appreciate|이해하다; 감상하다; 고맙게 생각하다
retire|은퇴하다, 퇴직하다, 그만두다
disappear|사라지다
distance|거리, 간격; 먼 거리, 먼 곳
indicate|나타내다, 암시하다; 가리키다
dedicate|(시간·노력을) 바치다, 헌신하다
finance|재정; 재정 상태; 자금을 공급[조달]하다
solid|단단한, 견고한; 순수한; 고체
preserve|지키다, 보호하다; 유지하다
universal|보편적인, 일반적인; 전 세계의
account|설명(하다); 계좌; 차지하다
declare|선언하다, 발표하다; (세관 등에) 신고하다
fade|사라지다, 희미해지다; (색깔이) 바래다
order|명령(하다); 주문(하다); 순서; 질서
adversity|역경
arrange|정하다; 정리[배열]하다; 편곡하다
absurd|어리석은, 터무니없는
profit|이익(을 얻다[주다]), 이윤
amend|(법 등을) 수정하다, 개정하다
sum|액수; 합계, 총합
disgust|역겹게 하다; 혐오감, 역겨움
instant|즉각적인; 즉석요리의; 즉시, 찰나
extend|연장하다; 뻗다; 확장하다
yield|생산하다; 굴복하다; (농작물 등의) 산출량
subjective|주관적인, 주관의
potential|잠재적인, 가능성(이 있는); 잠재력
expose|드러내다, 노출시키다; 폭로하다
manufacture|제조(하다), 생산(하다); 제품
function|역할; 작용하다, 기능(하다)
afford|~할 여유가 있다
exhaust|기진맥진하게 만들다; 다 써버리다; 배기가스
transit|운반, 운송; 통과, 환승
estimate|(가치 등을) 추정(하다), 평가하다; 견적서
disrupt|방해하다, 지장을 주다
precise|정확한, 정밀한
adopt|입양하다; 채택[채용]하다
obey|복종하다, 따르다, 준수하다
affirm|단언하다, 확언하다
restrain|제지하다; (감정·행동 등을) 억누르다
confess|자백하다, 고백하다
devote|(노력·시간을) 바치다, 기울이다
assess|평가[산정]하다
objective|객관적인; 목표, 목적
disturb|방해하다; 어지럽히다
