compel|강요하다, 억지로 행동하게 하다
economic|경제(상)의, 경제학의
mention|말하다, 언급(하다)
measure|측정하다; 평가하다; 척도
manage|경영하다, 관리하다; 간신히 ~하다
count|세다; 간주하다; 중요하다
swear|맹세하다, 선언하다; 욕을 하다
tear|눈물; 구멍, 찢어진 틈; 찢다
maginary|상상의, 가상의
common|일반의, 흔한; 공통의
attitude|태도, 자세
sentence|문장; 판결(을 내리다), 선고(하다)
rehearse|예행연습[리허설]을 하다
rush|급하게 가다, 서두르다; 돌진; 분주함
imaginable|상상[생각]할 수 있는
negotiate|협상하다, 교섭하다
immediate|즉각적인; 시급한; 직접적인
ordinary|보통의, 일상적인, 평범한
provide|제공하다, 주다; 규정하다
coordinate|조직화하다; 조정하다; 동등한
passion|열정, 정열
sacrifice|희생(하다); 제물로 바치다
comment|논평(하다), 의견; 비평하다
burden|부담[짐](을 지우다)
permit|허락하다; 허가(증)
perspective|견해, 관점; 원근법
worthwhile|가치 있는, ~할 가치가 있는
realize|깨닫다; 실현하다
comprehensible|이해할 수 있는
board|판자; (게시)판; 탑승하다
rotate|회전하다[시키다]; 교대[순환] 근무를 하다
harsh|가혹한, 무자비한
altitude|높이, 고도
field|들판; 분야, 영역; 경기장
imaginative|상상력이 풍부한
embed|깊숙이 박다; 깊이 새겨두다
thrive|번성하다, 번영하다
scrub|문지르다, 닦아내다
maintain|유지하다, 지속하다; 주장하다
character|성격; 특성; (등장)인물
gaze|빤히 보다, 응시(하다)
comprehensive|포괄적인, 종합적인
quote|인용하다; 인용구[문]
spill|엎지르다, 흘리다; 유출
economics|경제학
release|석방(하다); 발표[개봉](하다); 표출(하다)
subject|주제; 과목; 영향을 받는
prudent|신중한, 조심성 있는
fulfil(l)|(의무 등을) 다하다, 이행하다; 실현[성취]하다
generate|생산[창출]하다; 발생시키다
remind|상기시키다, 일깨우다
apparent|명백한, 분명한; 겉보기의
commence|시작되다, 시작하다
utilize|이용하다, 활용하다
revise|수정하다, 개정하다
economical|경제적인, 절약되는
aptitude|소질, 적성
administer|관리하다, 운영하다; 집행하다
diminish|줄어들다, 축소하다
engage|참여하다; 고용하다; 관계를 맺다
