soak|흠뻑 적시다; 담그다[담기다]
accomplish|성취하다, 완수하다
vibrate|흔들리다, 진동하다
rehearse|예행연습[리허설]을 하다
valuable|값비싼; 귀중한
stir|휘젓다; 움직이다; 마음을
approve|찬성하다; 승인하다
perspective|견해, 관점; 원근법
trigger|촉발시키다; 방아쇠; 계기
swear|맹세하다, 선언하다; 욕을 하다
bump|충돌하다; (부딪치는 소리) 쿵; 타박상
fold|접다; (팔 등을) 끼다
maginary|상상의, 가상의
negotiate|협상하다, 교섭하다
spread|퍼뜨리다, 확산(되다); 펼치다
quote|인용하다; 인용구[문]
compel|강요하다, 억지로 행동하게 하다
release|석방(하다); 발표[개봉](하다); 표출(하다)
acquire|얻다, 습득하다; 획득하다
commence|시작되다, 시작하다
nominate|지명하다, 임명하다
subject|주제; 과목; 영향을 받는
compete|경쟁하다; 겨루다
grade|등급; 학년; (등급별로) 나누다
imaginative|상상력이 풍부한
valueless|가치 없는, 하찮은
gaze|빤히 보다, 응시(하다)
facilitate|촉진하다, 용이하게 하다
utilize|이용하다, 활용하다
field|들판; 분야, 영역; 경기장
virtue|미덕, 덕목; 장점
applaud|박수갈채하다; 칭찬하다
passion|열정, 정열
ordinary|보통의, 일상적인, 평범한
worthwhile|가치 있는, ~할 가치가 있는
purpose|목적, 의도
shift|이동하다; 바꾸다; 변화
burden|부담[짐](을 지우다)
investigate|조사하다, 연구하다
sacrifice|희생(하다); 제물로 바치다
apparent|명백한, 분명한; 겉보기의
common|일반의, 흔한; 공통의
spill|엎지르다, 흘리다; 유출
explode|폭발하다[시키다]
comprehensive|포괄적인, 종합적인
tear|눈물; 구멍, 찢어진 틈; 찢다
thrive|번성하다, 번영하다
rotate|회전하다[시키다]; 교대[순환] 근무를 하다
primary|주요한; 최초의
imaginable|상상[생각]할 수 있는
exploit|이용하다, 착취하다; (자원 등을) 개발하다
purify|정화하다; 순화하다
plain|명백한; 무늬가 없는; 평지, 평원
figure|수치; (중요) 인물; 모습, 사람
comprehensible|이해할 수 있는
opposite|정반대의; 반대(쪽의); ~의 맞은편에
engage|참여하다; 고용하다; 관계를 맺다
invaluable|매우 유용한, 귀중한
coordinate|조직화하다; 조정하다; 동등한
split|분열되다[시키다]; 나뉘다[나누다]
